id,tipo_operacion,fecha,monto_original,moneda_original,tipo_cambio,monto_uyu,monto_usd,total_pesificado,total_dolarizado,area,localidad,descripcion,cliente,proveedor
0a7832b3-6dda-4438-ac86-6beb3c13b663,INGRESO,2024-01-01,322.34,UYU,40.1700,322.34,8.02,322.34,8.02,Recuperación,MERCEDES,Servicio profesional - January 2024,Comercio Exterior SRL,
32076eef-b241-4d8f-b5ab-01cd8df60957,GASTO,2024-01-01,161.48,UYU,40.1700,161.48,4.02,161.48,4.02,Otros Gastos,MONTEVIDEO,Pago servicios - January 2024,,Uber Empresarial
5f6d40e2-22e5-4dd3-9837-c20d276d2718,INGRESO,2024-01-01,4410.47,UYU,40.1700,4410.47,109.80,4410.47,109.80,Contable,MERCEDES,Servicio profesional - January 2024,Transporte Seguro SA,
90d616f4-748e-47f0-9ad7-32ecfb8540bb,RETIRO,2024-01-01,53885.00,UYU,40.1700,53885.00,743.00,83731.31,2084.42,,MONTEVIDEO,Retiro socios - January 2024,,
6659822a-ab6e-4a2a-836e-1bda53d24c8c,RETIRO,2024-01-02,25030.00,UYU,39.3600,25030.00,1934.00,101152.24,2569.92,,MONTEVIDEO,Retiro socios - January 2024,,
8a7dbae8-65f7-483a-9edf-c6fdf1e79dd0,GASTO,2024-01-02,978.31,UYU,39.3600,978.31,24.86,978.31,24.86,Notarial,MONTEVIDEO,Pago servicios - January 2024,,Vigilancia Privada
9e11138f-b397-4785-80c2-ae8375741770,INGRESO,2024-01-02,2298.64,USD,39.3600,90474.47,2298.64,90474.47,2298.64,Jurídica,MERCEDES,Servicio profesional - January 2024,Century 21,
daef32aa-c7b7-455f-984c-ddabfa802125,DISTRIBUCION,2024-01-02,1090.69,UYU,39.3600,1090.69,68.26,3777.40,95.97,,MERCEDES,Distribución de utilidades,,
baaf40dc-87c1-4ba8-81c0-de0e31987b5c,INGRESO,2024-01-03,947.66,USD,39.9400,37849.54,947.66,37849.54,947.66,Jurídica,MONTEVIDEO,Servicio profesional - January 2024,Logística Express,
c2f47ce9-a567-4710-807b-f72fbaa1b269,INGRESO,2024-01-03,2236.04,UYU,39.9400,2236.04,55.99,2236.04,55.99,Notarial,MONTEVIDEO,Servicio profesional - January 2024,Carlos Rodríguez,
c6dab37d-74c5-42ac-898d-606e5c91080f,RETIRO,2024-01-03,149412.00,UYU,39.9400,149412.00,2725.00,258248.50,6465.91,,MONTEVIDEO,Retiro socios - January 2024,,
ca9e4caa-61f9-4c8c-bd49-2f8280263fea,GASTO,2024-01-03,621.42,USD,39.9400,24819.51,621.42,24819.51,621.42,Recuperación,MERCEDES,Pago servicios - January 2024,,UTE
08da6cfe-db6f-4f10-ae18-919a98bb988a,GASTO,2024-01-04,1655.42,UYU,40.0600,1655.42,41.32,1655.42,41.32,Recuperación,MONTEVIDEO,Pago servicios - January 2024,,Papelería Central
bfccafa6-a392-4e82-b179-012c29df6227,GASTO,2024-01-04,498.56,USD,40.0600,19972.31,498.56,19972.31,498.56,Contable,MERCEDES,Pago servicios - January 2024,,Remises VIP
d3807351-e2fb-4c32-be84-3f10f69a71fd,INGRESO,2024-01-04,2747.12,USD,40.0600,110049.63,2747.12,110049.63,2747.12,Notarial,MERCEDES,Servicio profesional - January 2024,Comercio López Hnos,
1e87cea9-7aa6-4fd5-9354-9fcac511ccb4,GASTO,2024-01-05,347.02,UYU,39.2600,347.02,8.84,347.02,8.84,Contable,MERCEDES,Pago servicios - January 2024,,Mudanzas Express
3e380982-1e9f-41fe-a3d7-da6450d504ea,RETIRO,2024-01-05,96270.00,UYU,39.2600,96270.00,1833.00,168233.58,4285.11,,MERCEDES,Retiro socios - January 2024,,
3fc7527b-7e18-43c2-9402-0de0c2783b44,GASTO,2024-01-05,1080.07,UYU,39.2600,1080.07,27.51,1080.07,27.51,Notarial,MONTEVIDEO,Pago servicios - January 2024,,Mudanzas Express
c53f818c-35fc-49ac-a4c4-b087c5b48fec,INGRESO,2024-01-05,4330.49,USD,39.2600,170015.04,4330.49,170015.04,4330.49,Notarial,MONTEVIDEO,Servicio profesional - January 2024,Comercio Exterior SRL,
643fd196-d33c-4ed8-91b7-4c7f39d47568,INGRESO,2024-01-06,2533.76,UYU,40.1700,2533.76,63.08,2533.76,63.08,Contable,MONTEVIDEO,Servicio profesional - January 2024,Carlos Rodríguez,
6f5c6519-7b79-4622-bb99-e17884de4c93,INGRESO,2024-01-06,1681.58,UYU,40.1700,1681.58,41.86,1681.58,41.86,Recuperación,MONTEVIDEO,Servicio profesional - January 2024,Transporte Seguro SA,
80663b3e-c61a-4592-88cc-3da5b463534d,INGRESO,2024-01-06,4604.70,USD,40.1700,184970.80,4604.70,184970.80,4604.70,Jurídica,MERCEDES,Servicio profesional - January 2024,Fábrica Nacional,
80cf6613-3c65-4f92-b4e4-75b786d15488,INGRESO,2024-01-06,2303.97,UYU,40.1700,2303.97,57.36,2303.97,57.36,Recuperación,MONTEVIDEO,Servicio profesional - January 2024,Distribuidora Central,
116c2177-8f82-4617-945c-2947820f216b,GASTO,2024-01-07,797.95,UYU,39.6300,797.95,20.14,797.95,20.14,Recuperación,MONTEVIDEO,Pago servicios - January 2024,,ANTEL
21fe89b1-c51d-4f94-a853-94d06fbb0cd3,INGRESO,2024-01-07,4276.50,USD,39.6300,169477.70,4276.50,169477.70,4276.50,Jurídica,MERCEDES,Servicio profesional - January 2024,Importadora Sur,
55e8dabb-3d04-48d7-94bd-2c09c4215785,INGRESO,2024-01-07,2653.51,UYU,39.6300,2653.51,66.96,2653.51,66.96,Notarial,MERCEDES,Servicio profesional - January 2024,Ana Martínez,
9bc93fa6-6a47-4358-9d9f-8ef1ed405a5a,INGRESO,2024-01-07,1441.70,USD,39.6300,57134.57,1441.70,57134.57,1441.70,Notarial,MONTEVIDEO,Servicio profesional - January 2024,Ferretería Industrial,
a77e4d81-be4c-4087-99b2-21f737508858,GASTO,2024-01-07,271.29,USD,39.6300,10751.22,271.29,10751.22,271.29,Otros Gastos,MONTEVIDEO,Pago servicios - January 2024,,Mantenimiento IT
307caca3-f707-4684-9440-739ba7dff88c,RETIRO,2024-01-08,973.00,USD,40.0000,38920.00,973.00,77840.00,1946.00,,MERCEDES,Retiro socios - January 2024,,
34c89833-d7b0-41b4-bf0e-d962037a9496,GASTO,2024-01-08,703.48,UYU,40.0000,703.48,17.59,703.48,17.59,Jurídica,MONTEVIDEO,Pago servicios - January 2024,,Vigilancia Privada
c8c94c1f-9d4c-469b-b295-d5670e345f68,INGRESO,2024-01-08,2829.90,UYU,40.0000,2829.90,70.75,2829.90,70.75,Jurídica,MERCEDES,Servicio profesional - January 2024,Importadora Sur,
e885cf07-18d2-4967-937e-50a82767dc78,GASTO,2024-01-08,1405.50,UYU,40.0000,1405.50,35.14,1405.50,35.14,Recuperación,MERCEDES,Pago servicios - January 2024,,Mantenimiento IT
174f81c5-5104-4b6f-9e22-90b8aec8f63b,GASTO,2024-01-09,556.95,UYU,39.4300,556.95,14.13,556.95,14.13,Otros Gastos,MONTEVIDEO,Pago servicios - January 2024,,Intendencia de Montevideo
43722642-196c-4f46-b6f4-5f39f475b3c9,INGRESO,2024-01-09,1305.02,USD,39.4300,51456.94,1305.02,51456.94,1305.02,Contable,MERCEDES,Servicio profesional - January 2024,Cooperativa Agraria,
83029877-e1c7-4074-aa4d-5c3fbbbe7799,GASTO,2024-01-09,1841.07,USD,39.4300,72593.39,1841.07,72593.39,1841.07,Jurídica,MONTEVIDEO,Pago servicios - January 2024,,Soporte Técnico 24/7
fe076914-b3e2-4550-8318-5220c6daf336,GASTO,2024-01-09,344.70,UYU,39.4300,344.70,8.74,344.70,8.74,Otros Gastos,MERCEDES,Pago servicios - January 2024,,Securitas
3d9f8d32-d295-4306-bafd-18d53a98652c,GASTO,2024-01-10,1884.74,UYU,39.3600,1884.74,47.88,1884.74,47.88,Otros Gastos,MONTEVIDEO,Pago servicios - January 2024,,Hardware & Software SA
46e99b01-811d-4f0f-8721-da3a971a231f,INGRESO,2024-01-10,1313.03,UYU,39.3600,1313.03,33.36,1313.03,33.36,Notarial,MERCEDES,Servicio profesional - January 2024,Logística Express,
7ada6676-09d3-4fcb-b73b-3a72dd1a1a71,GASTO,2024-01-10,1952.95,UYU,39.3600,1952.95,49.62,1952.95,49.62,Contable,MONTEVIDEO,Pago servicios - January 2024,,Prosegur Uruguay
48ffb823-f7a6-41bc-936e-38aaefd07ca4,GASTO,2024-01-11,595.12,UYU,39.6700,595.12,15.00,595.12,15.00,Jurídica,MERCEDES,Pago servicios - January 2024,,Prosegur Uruguay
a119696b-c94c-48af-a5fc-8ce2ee3cd3a0,INGRESO,2024-01-11,573.74,UYU,39.6700,573.74,14.46,573.74,14.46,Jurídica,MERCEDES,Servicio profesional - January 2024,Carlos Rodríguez,
5141a90a-2de6-4ec0-a2c5-94eeb5e9a3d7,GASTO,2024-01-12,1324.27,UYU,39.9300,1324.27,33.16,1324.27,33.16,Notarial,MONTEVIDEO,Pago servicios - January 2024,,Seguridad Total
603712f7-2b07-48d9-8102-65f259df88cc,DISTRIBUCION,2024-01-12,4289.94,UYU,39.9300,4289.94,87.50,7783.82,194.94,,MERCEDES,Distribución de utilidades,,
b63d445f-a5f3-4e65-98f9-ad5fa570576d,GASTO,2024-01-12,1921.04,UYU,39.9300,1921.04,48.11,1921.04,48.11,Otros Gastos,MONTEVIDEO,Pago servicios - January 2024,,Mantenimiento IT
12a9cdac-2a39-4638-aa0d-b26ca4bdbffb,GASTO,2024-01-13,1976.06,USD,39.6600,78370.54,1976.06,78370.54,1976.06,Notarial,MONTEVIDEO,Pago servicios - January 2024,,Intendencia de Montevideo
0428c7c8-6f4d-4229-995a-67e00f14fc0e,RETIRO,2024-01-14,105160.00,UYU,39.7300,105160.00,2646.87,210320.15,5293.74,,MONTEVIDEO,Retiro socios - January 2024,,
b7a95d11-4530-4144-9227-b1655cd368e5,INGRESO,2024-01-14,4449.14,USD,39.7300,176764.33,4449.14,176764.33,4449.14,Recuperación,MERCEDES,Servicio profesional - January 2024,Importadora Sur,
f9062730-1214-445e-aa95-c910a0c5c88b,GASTO,2024-01-14,1412.05,UYU,39.7300,1412.05,35.54,1412.05,35.54,Jurídica,MONTEVIDEO,Pago servicios - January 2024,,Prosegur Uruguay
1123467f-dd4f-4812-a99a-8bc06a280492,GASTO,2024-01-15,1774.08,USD,40.0800,71105.13,1774.08,71105.13,1774.08,Recuperación,MERCEDES,Pago servicios - January 2024,,Imprenta Nacional
43852e4d-b186-43a4-bac5-6a2f2cc29b3b,RETIRO,2024-01-15,117756.00,UYU,40.0800,117756.00,2774.00,228937.92,5712.02,,MERCEDES,Retiro socios - January 2024,,
a093a48b-3273-489f-9bfe-86f4f5e67e9d,INGRESO,2024-01-15,1812.47,USD,40.0800,72643.80,1812.47,72643.80,1812.47,Recuperación,MONTEVIDEO,Servicio profesional - January 2024,Comercio López Hnos,
a918d10a-62ef-4943-a54c-568ad0d56986,DISTRIBUCION,2024-01-15,1329.48,UYU,40.0800,1329.48,72.30,4227.26,105.47,,MONTEVIDEO,Distribución de utilidades,,
fdf66539-22be-46ff-8e88-abff3eab34d7,GASTO,2024-01-15,1344.06,UYU,40.0800,1344.06,33.53,1344.06,33.53,Jurídica,MERCEDES,Pago servicios - January 2024,,G4S
2606fd99-9a04-4d84-b0ba-3b34adb3bfe4,GASTO,2024-01-16,718.06,UYU,39.3000,718.06,18.27,718.06,18.27,Jurídica,MONTEVIDEO,Pago servicios - January 2024,,Intendencia de Montevideo
a69b1055-2adb-49ee-8aab-caaa350b0ab4,INGRESO,2024-01-16,1746.50,UYU,39.3000,1746.50,44.44,1746.50,44.44,Contable,MONTEVIDEO,Servicio profesional - January 2024,Ferretería Industrial,
ddb67378-1993-4772-8991-a9ad1b09263a,INGRESO,2024-01-16,732.91,USD,39.3000,28803.36,732.91,28803.36,732.91,Recuperación,MONTEVIDEO,Servicio profesional - January 2024,Inmobiliaria del Este,
